All,Alla
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimilängden på detta fält måste vara minst %1 symboler. Inledande och efterföljande blanksteg ignoreras."
"If enabled, can be used by functional tests for extended reporting","Om aktiverad, kan användas av funktionstester för utökad rapportering"
"UPS Second Day Air","UPS 2nd Day Flyg"
"UPS Worldwide Expedited","UPS Worldwide Express"
"UPS Three-Day Select","UPS tredagars Välj"
"UPS Second Day Air A.M.","UPS Andra Dag Air förmiddag."
"UPS Worldwide Saver","UPS Worldwide Express"
"UPS Worldwide Express PlusSM","UPS Worldwide Express Plus"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courier"
"Next Day Air Early AM","Nästa dag flyg tidigt på förmiddagen"
"Next Day Air Early AM Letter","Nästa dag flyg tidigt på förmiddagen brev"
"Next Day Air Letter","Nästa dag Air brev"
"Live Account",Livekonto
"User ID",Användar-ID
"Edit URL Rewrite for a Category","Redigera URL-omskrivning för en kategori"
"Add URL Rewrite for a Category","Lägg till URL-omskrivning för en Kategori"
Category:,Kategori:
"Please assign a website to the selected category.","Vänligen tilldela en webbplats till den valda kategorin."
"Edit URL Rewrite for a Product","Redigera URL omskrivning för en produkt"
"Add URL Rewrite for a Product","Lägg till URL-omskrivning för en Produkt"
Product:,Produkt:
"Skip Category Selection","Hoppa över Kategorival"
"Edit URL Rewrite for CMS page","Redigera URL-Omskrivning för CMS sidor"
"Add URL Rewrite for CMS page","Redigera URL-Omskrivning för CMS sidor"
"CMS page:",CMS-sida:
"Please assign a website to the selected CMS page.","Vänligen tilldela en webbplats till den valda CMS-sidan."
"Edit URL Rewrite","Redigera URL omskrivning"
"Add New URL Rewrite","Lägg till ny URL Rewrite"
"For Category","För kategori"
"For Product","För produkt"
"For CMS page","För CMS-sida"
"Delete Role","Ta bort Roll"
Roles,Roller
"Role Users",Roll-användare
"Role Resources","Roll resurser"
"Role Info","Roll Info"
"Save User","Spara användare"
"Edit User '%1'","Redigera användare '%1'"
"Account Status",Kontostatus
"Please enter an email address.","Vänligen fyll i en e-postadress."
email,e-post
"Password is required field.","Lösenord krävs."
"It's time to <a href=""%1"">change your password</a>.","Det är dags att <a href=""%1""> ändra ditt lösenord</a>."
"Email address",E-postadress
"Forgot your password?","Glömt ditt lösenord?"
"Reset a Password","Återställ ett Lösenord"
"Hello,","Hej,"
"First-Class Mail Large Envelope","Första klass post stort kuvert"
"First-Class Mail Letter","Första klass brev"
"First-Class Mail Postcards","Förstklassiga vykort"
"Priority Mail","Prioriterad Mail"
"Priority Mail Express Hold For Pickup","Prioriterad expressfrakt hålls för upphämtning"
"Priority Mail Express","Prioritet post Express"
"Library Mail","Bibliotek Mail"
"Priority Mail Express Flat Rate Envelope","Prioriterad Frakt med förpackning, fast pris"
"First-Class Mail Large Postcards","Förstklassiga stora vykort"
"Priority Mail Flat Rate Envelope","Prioritetsfrakt Fastpris brev"
"Priority Mail Medium Flat Rate Box","Prioriterad Fraktsätt för medelstora lådor med fast pris"
"Priority Mail Large Flat Rate Box","Prioriterad Fraktsätt för stora lådor med fast pris"
"Priority Mail Express Sunday/Holiday Delivery","Prioriterad Expressfrakt Söndagar/helgdagar"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Express Mail schablonbelopp kuvert håll för avhämtning"
"Priority Mail Small Flat Rate Box","Prioriterat Fraktsätt för små lådor med fast pris"
"Priority Mail Padded Flat Rate Envelope","Prioriterad Frakt med vadderat förpackning, fast pris"
"Priority Mail Express Legal Flat Rate Envelope","Prioriterad Frakt med förpackning, fast pris"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Express Mail schablonbelopp kuvert håll för avhämtning"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Söndag/Helgdagsfrakt Fastpris Brev"
"Priority Mail Hold For Pickup","Prioriterad expressfrakt hålls för upphämtning"
"Priority Mail Large Flat Rate Box Hold For Pickup","Express Mail Stort Fast avgift håll för avhämtning"
"Priority Mail Small Flat Rate Box Hold For Pickup","Express Mail Litet Fast avgift håll för avhämtning"
Variable,Variabel
"Add New Variable","Lägg till ny variabel"
"Custom Variable ""%1""","Anpassade variabeln ""%1"""
"New Custom Variable","Nya Anpassade variabler"
"Variable Code","Variabel kod"
"Variable Name","Variabelns namn"
"Use Default Variable Values","Använd förvalda variabelvärden"
"Variable HTML Value","Variabelt HTML Värde"
"Variable Plain Value","Variabelt oformaterat värde"
"You deleted the custom variable.","Du bort anpassade variabeln."
"You saved the custom variable.","Du sparade den anpassade variabeln."
"Variable Code must be unique.","Variabelkoden måste vara unik."
"Validation has failed.","Valideringen misslyckades."
"Variable ID","Variabel ID"
"No token found.","Ingen token hittades."
"Wrong request.","Felaktig begäran."
"Deletion failure. Please try again.","Raderingen misslyckades. Vänligen försök igen."
"Stored Payment Method was successfully removed","Sparad betalningsmetod har tagits bort"
"Stored Payment Methods","Lagrade betalningsmetoder"
"You have no stored payment methods.","Du har inga sparade betalningsmetoder."
"Delete Current Hierarchy","Ta bort aktuell hierarki"
"Pages Hierarchy",Sidhieraki
"Page Properties","Banner Egenskaper"
"Preview is not available.","Förhandsgranskning är inte tillgängligt."
"Render Metadata in HTML Head.","Återge Metadata i HTML-huvudet."
Next/Previous,Nästa/föregående
"Enable Chapter/Section","Aktivera kapitel/avsnitt"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Möjliggör Kapitel/funktionalitet för sidorna, denna nod och dess underordnade noder"
Chapter/Section,Kapitel/avsnitt
"Defines this node as Chapter/Section","Definierar den här noden som kapitel/avsnitt"
"Pagination Options for Nested Pages","Sidbrytningsalternativ för inbäddade sidor"
"Enable Pagination","Aktivera sidindelning"
"Set the number of links to display at one time.","Ange antalet länkar som ska visas på en gång."
"Page Navigation Menu Options","Menyalternativ för Sidnavigering"
"Exclude from Navigation Menu","Exkludera från menyn"
"Show in navigation menu.","Visa i menyn."
"Menu Layout","Menyn Layout"
"Neighbours and Children","Grannar och barn"
"List Type",Listtyp
"List Style",Liststil
"CMS Page Trees",CMS-sidträd
"CMS Hierarchy for","CMS-hierarki för"
Node,Nod
"Not Selected","Ej valt"
"Search All Products","Sök alla produkter"
"Add Product by SKU","Lägg till produkt genom SKU"
Bottom,"Längst ned"
"No SKU entered","Inget artikelnummer inlagt"
"Undefined Action","Odefinierad åtgärd"
"Products with the following SKUs do not exist: %s","Produkter med följande artiklar finns inte: %s"
"%s SKU(s) processed successfully","%s SKU(s) behandlas framgångsrikt"
"On Top","På toppen"
"On Bottom","På botten"
"Category rules validation failed","Validering av kategoriregler misslyckades"
"Clone category ID(s)","Klona kategori ID(n)"
"Date Created (days ago)","Datum skapad (dagar sedan)"
"Date Modified (days ago)","Datum skapad (dagar sedan)"
"Error in reading category rules","Fel vid läsning av kategoriregler"
"There was no category rules to apply","Det fanns inga kategoriregler att applicera"
"Category rules applied","Kategoriregler som tillämpas"
Equal,"Är lika med"
"Not equal","Inte Lika med"
"Greater than","Större Än"
"Less than","Mindre än"
Contains,Innehåller
"Name: A - Z","Namn: A - Ö"
"Name: Z - A","Namn: Ö - A"
Logic,Logik
"Add Condition","Lägg till villkor"
"Color Order",Färgordning
"Operation allowed only in HTTPS","Åtgärden tillåts endast i HTTPS"
"Cannot perform GET operation with store code 'all'","Kan inte utföra GET-åtgärd med butikskod 'all'"
"Request does not match any route.","Begäran matchar inte någon rutt."
"Not allowed parameters: %1. Please use only %2 and %3.","Inte tillåtna parametrar: %1. Använd endast %2 och %3."
"Requested service is not available: ""%1""","Begärda tjänsten är inte tillgänglig: ""%1"""
"Operation ""%1"" not found.","Operation ""%1"" hittades inte."
"SOAP extension is not loaded.","SOAP-tillägget laddas inte."
"Invalid XML","Ogiltig XML"
"Soap fault reason.","Soap fel."
"Create Customer","Skapa kund"
"Edit Customer","Redigera kund"
"Get Customer","Ny kund"
"SOAP Settings","SOAP inställningar"
"Default Response Charset","Standardset med karaktärer"
"If empty, UTF-8 will be used.","Om den är tom, används UTF-8."
"Web Services Configuration","Konfiguration av Web servicetjänster"
"REST and SOAP configurations, generated WSDL file","Rest och SOAP konfigurering, genrerad WSDL fil"
"Web API Security","Webbsäkerhet för API"
"Allow Anonymous Guest Access","Tillåt Anonym Gäståtkomst"
"Website Closed","Webbplats Stängd"
"Private Sales: Login Only","Privat försäljning: Inloggning krävs"
"Private Sales: Login and Register","Privat Försäljning: Logga in och registrera"
"To login form (302 Found)","Till inloggningsformuläret (302 hittad)"
"To landing page (302 Found)","Till målsida (302 Found)"
"Access Restriction",Åtkomstbegränsning
"Restriction Mode","Begränsat läge"
"Applicable only if restriction mode is set to ""Private Sales"".","Tillämplig endast om begränsningsläge är satt till ""Privat försäljning""."
"HTTP Response",Http-svar
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Tillämplig endast om begränsningen är inställt på ""Webbplats stängd"". Målsidan återges som rå HTML."
"Add Tax","Lägg till Moms"
"Delete Tax","Ta bort Moms"
"Including FPT only","Inklusive FPT endast"
"Including FPT and FPT description","Inklusive FPT och FPT Beskrivning"
"Excluding FPT. Including FPT description and final price","Exklusive FPT. Inklusive FPT beskrivning och slutpris"
"Excluding FPT","Exklusive FPT"
"Fixed Product Tax","Fast produktskatt"
Country/State,Land/delstat
"Total Incl. Tax","Totalt inkl moms"
"Final Price","Slutliga priset"
"Fixed Product Taxes","Fast produktskatt"
"Enable FPT","Aktivera FPT"
"Display Prices In Product Lists","Visa priser i produktlistor"
"Display Prices On Product View Page","Visa priser i produktlistor"
"Display Prices In Emails","Visa priser i e-postmeddelanden"
"Widget Insertion","Lägg till Widget"
"Insert Widget","Infoga Widget"
Choose...,Välj...
"Widget Type","Widget typ"
"Manage Widget Instances","Hantera instanser av Widget"
"Add Widget","Lägg till widget"
"New Widget Instance","Ny Widget instans"
"Custom Layouts","Anpassade layouter"
"Page Layouts",Sidlayouter
"Please Select Container First","Vänligen välj ""container"" först"
"Design Package/Theme","Design paketet/tema"
"Widget Title","Widget titel"
"Assign to Store Views","Tilldela till Store vyer"
"Sort Order of widget instances in the same container","Sorteringsordningen för widget-instanser i samma behållare"
"Layout Updates","Layout uppdateringar"
"Anchor Categories",Ankarkategorier
"All Pages","Alla sidor"
description,beskrivning
"Wish List Sharing",Önskelistadelning
"My Wish List","Min önskelista"
"%1 has been moved to your wish list.","%1 har tagits bort från din önskelista."
"Message length must not exceed %1 symbols","Meddelandet får inte överskrida %1 tecken"
"Your wish list has been shared.","Din önskelista har delats."
"%1 has been updated in your Wish List.","%1 har uppdaterats i din önskelista."
Comment:,Kommentar:
"Add All to Cart","Lägg till alla i kundvagnen"
"Move to Wishlist","Flytta till önskelista"
"View Product","Visa produkt"
"%1 has been added to your Wish List.","%1 har lagts till din önskelista."
"You have no items in your wish list.","Du har inga artiklar i din önskelista."
"My Wish List Link","Min önskelistelänk"
"Credit card type",Kreditkort
"CVV result","CVV resultat"
"Postcode AVS check","Postnummer AVS kontroll"
"Address AVS check","Adress AVS check"
"Country comparison check","Jämför och kontrollera land"
"Not supported","Stöds inte"
"Not checked",Omarkerad
Matched,Matchade
"Not matched","Inga matchningar"
"Partially matched","Delvis matchas"
"No such order id.","Det finns inget sådant orderID."
